Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,14/01/2022,Vente,254000.0,60.0,,AV,3140,EMILE COUNORD,33300.0,BORDEAUX,33,63,,RC,104,,99,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,14/01/2022,Vente,254000.0,60.0,,AV,3140,EMILE COUNORD,33300.0,BORDEAUX,33,63,,RC,104,,14,,,,,,,,,,1,2.0,Appartement,,67.0,3,,,,3791.044776119403
,,,,,,,1,03/01/2022,Vente,112014.0,10.0,,RUE,4270,GUIRAUDE,33000.0,BORDEAUX,33,63,,KJ,226,,5,"15,00",,,,,,,,,1,2.0,Appartement,,17.0,1,,,,6589.058823529412
,,,,,,,1,03/01/2022,Vente,137563.4,208.0,,CRS,6065,DE LA MARNE,33800.0,BORDEAUX,33,63,,DK,304,,1,"27,00",,,,,,,,,1,2.0,Appartement,,29.0,1,,,,4743.565517241379
,,,,,,,1,11/01/2022,Vente,30000.0,125.0,,RUE,7955,DE RIVIERE,33000.0,BORDEAUX,33,63,,OS,110,,11,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,14/01/2022,Vente,620000.0,75.0,,RUE,8590,SEGALIER,33000.0,BORDEAUX,33,63,,LA,54,,,,,,,,,,,,0,2.0,Appartement,,39.0,2,S,,57.0,15897.435897435897
,,,,,,,1,14/01/2022,Vente,620000.0,75.0,,RUE,8590,SEGALIER,33000.0,BORDEAUX,33,63,,LA,54,,,,,,,,,,,,0,2.0,Appartement,,40.0,2,S,,57.0,15500.0
,,,,,,,1,14/01/2022,Vente,620000.0,75.0,,RUE,8590,SEGALIER,33000.0,BORDEAUX,33,63,,LA,54,,,,,,,,,,,,0,2.0,Appartement,,40.0,2,S,,57.0,15500.0
,,,,,,,1,18/01/2022,Vente,28900.0,46.0,T,RUE,5470,DE LEYBARDIE,33300.0,BORDEAUX,33,63,,RN,4,,723,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,11/01/2022,Vente,534830.0,5.0,,RUE,7580,PRIVAT,33000.0,BORDEAUX,33,63,,IA,22,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0,S,,214.0,inf
